# depth [m]	particle flux [1/h]	utm_x [m]	utm_y [m]	longitude [deg]	latitude [deg]
4.500000	0.000000	471235.002794	7645475.865018	14.283400	68.918800
13.500000	0.000000	471235.002794	7645475.865018	14.283400	68.918800
22.500000	0.000000	471235.002794	7645475.865018	14.283400	68.918800
31.500000	0.000000	471235.002794	7645475.865018	14.283400	68.918800
40.500000	0.000000	471235.002794	7645475.865018	14.283400	68.918800
49.500000	0.000000	471235.002794	7645475.865018	14.283400	68.918800
58.500000	1.000000	471235.002794	7645475.865018	14.283400	68.918800
67.500000	1.000000	471235.002794	7645475.865018	14.283400	68.918800
76.500000	1.000000	471235.002794	7645475.865018	14.283400	68.918800
85.500000	2.000000	471235.002794	7645475.865018	14.283400	68.918800
94.500000	2.000000	471235.002794	7645475.865018	14.283400	68.918800
103.500000	3.000000	471235.002794	7645475.865018	14.283400	68.918800
112.500000	4.000000	471235.002794	7645475.865018	14.283400	68.918800
121.500000	6.000000	471235.002794	7645475.865018	14.283400	68.918800
130.500000	8.000000	471235.002794	7645475.865018	14.283400	68.918800
139.500000	10.000000	471235.002794	7645475.865018	14.283400	68.918800
148.500000	14.000000	471235.002794	7645475.865018	14.283400	68.918800
157.500000	18.000000	471235.002794	7645475.865018	14.283400	68.918800
166.500000	23.000000	471235.002794	7645475.865018	14.283400	68.918800
175.500000	29.000000	471235.002794	7645475.865018	14.283400	68.918800
