# depth [m]	particle flux [1/h]	utm_x [m]	utm_y [m]	longitude [deg]	latitude [deg]
4.500000	1.000000	471170.127714	7645420.866904	14.281800	68.918300
13.500000	1.000000	471170.127714	7645420.866904	14.281800	68.918300
22.500000	1.000000	471170.127714	7645420.866904	14.281800	68.918300
31.500000	1.000000	471170.127714	7645420.866904	14.281800	68.918300
40.500000	1.000000	471170.127714	7645420.866904	14.281800	68.918300
49.500000	1.000000	471170.127714	7645420.866904	14.281800	68.918300
58.500000	1.000000	471170.127714	7645420.866904	14.281800	68.918300
67.500000	2.000000	471170.127714	7645420.866904	14.281800	68.918300
76.500000	2.000000	471170.127714	7645420.866904	14.281800	68.918300
85.500000	3.000000	471170.127714	7645420.866904	14.281800	68.918300
94.500000	3.000000	471170.127714	7645420.866904	14.281800	68.918300
103.500000	4.000000	471170.127714	7645420.866904	14.281800	68.918300
112.500000	6.000000	471170.127714	7645420.866904	14.281800	68.918300
121.500000	7.000000	471170.127714	7645420.866904	14.281800	68.918300
130.500000	10.000000	471170.127714	7645420.866904	14.281800	68.918300
139.500000	13.000000	471170.127714	7645420.866904	14.281800	68.918300
148.500000	16.000000	471170.127714	7645420.866904	14.281800	68.918300
157.500000	21.000000	471170.127714	7645420.866904	14.281800	68.918300
166.500000	27.000000	471170.127714	7645420.866904	14.281800	68.918300
175.500000	34.000000	471170.127714	7645420.866904	14.281800	68.918300
184.500000	43.000000	471170.127714	7645420.866904	14.281800	68.918300
193.500000	59.000000	471170.127714	7645420.866904	14.281800	68.918300
