# depth [m]	particle flux [1/h]	utm_x [m]	utm_y [m]	longitude [deg]	latitude [deg]
4.500000	1.000000	471143.204383	7645521.542953	14.281100	68.919200
13.500000	1.000000	471143.204383	7645521.542953	14.281100	68.919200
22.500000	1.000000	471143.204383	7645521.542953	14.281100	68.919200
31.500000	1.000000	471143.204383	7645521.542953	14.281100	68.919200
40.500000	2.000000	471143.204383	7645521.542953	14.281100	68.919200
49.500000	2.000000	471143.204383	7645521.542953	14.281100	68.919200
58.500000	3.000000	471143.204383	7645521.542953	14.281100	68.919200
67.500000	3.000000	471143.204383	7645521.542953	14.281100	68.919200
76.500000	4.000000	471143.204383	7645521.542953	14.281100	68.919200
85.500000	5.000000	471143.204383	7645521.542953	14.281100	68.919200
94.500000	7.000000	471143.204383	7645521.542953	14.281100	68.919200
103.500000	9.000000	471143.204383	7645521.542953	14.281100	68.919200
112.500000	12.000000	471143.204383	7645521.542953	14.281100	68.919200
121.500000	15.000000	471143.204383	7645521.542953	14.281100	68.919200
130.500000	20.000000	471143.204383	7645521.542953	14.281100	68.919200
139.500000	27.000000	471143.204383	7645521.542953	14.281100	68.919200
148.500000	35.000000	471143.204383	7645521.542953	14.281100	68.919200
157.500000	45.000000	471143.204383	7645521.542953	14.281100	68.919200
166.500000	58.000000	471143.204383	7645521.542953	14.281100	68.919200
175.500000	72.000000	471143.204383	7645521.542953	14.281100	68.919200
184.500000	135.000000	471143.204383	7645521.542953	14.281100	68.919200
