# depth [m]	particle flux [1/h]	utm_x [m]	utm_y [m]	longitude [deg]	latitude [deg]
42.000000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
96.000000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
113.500000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
124.000000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
132.000000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
138.500000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
144.000000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
148.500000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
152.500000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
156.000000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
159.000000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
162.000000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
164.500000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
167.000000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
169.500000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
171.500000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
173.500000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
175.500000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
177.500000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
179.500000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
181.000000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
182.500000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
184.000000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
185.500000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
187.000000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
188.500000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
190.000000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
191.000000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
192.500000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
194.000000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
195.000000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
196.000000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
197.000000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
198.000000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
199.000000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
200.000000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
201.000000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
202.000000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
203.000000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
204.000000	1.000000	471123.031681	7645432.202917	14.295500	68.921200
