# depth [m]	particle flux [1/h]	utm_x [m]	utm_y [m]	longitude [deg]	latitude [deg]
4.500000	0.000000	471723.760115	7645737.837922	14.295500	68.921200
13.500000	0.000000	471723.760115	7645737.837922	14.295500	68.921200
22.500000	0.000000	471723.760115	7645737.837922	14.295500	68.921200
31.500000	0.000000	471723.760115	7645737.837922	14.295500	68.921200
40.500000	0.000000	471723.760115	7645737.837922	14.295500	68.921200
49.500000	0.000000	471723.760115	7645737.837922	14.295500	68.921200
58.500000	1.000000	471723.760115	7645737.837922	14.295500	68.921200
67.500000	1.000000	471723.760115	7645737.837922	14.295500	68.921200
76.500000	1.000000	471723.760115	7645737.837922	14.295500	68.921200
85.500000	1.000000	471723.760115	7645737.837922	14.295500	68.921200
94.500000	2.000000	471723.760115	7645737.837922	14.295500	68.921200
103.500000	2.000000	471723.760115	7645737.837922	14.295500	68.921200
112.500000	3.000000	471723.760115	7645737.837922	14.295500	68.921200
121.500000	4.000000	471723.760115	7645737.837922	14.295500	68.921200
130.500000	5.000000	471723.760115	7645737.837922	14.295500	68.921200
139.500000	7.000000	471723.760115	7645737.837922	14.295500	68.921200
148.500000	9.000000	471723.760115	7645737.837922	14.295500	68.921200
157.500000	12.000000	471723.760115	7645737.837922	14.295500	68.921200
166.500000	15.000000	471723.760115	7645737.837922	14.295500	68.921200
175.500000	19.000000	471723.760115	7645737.837922	14.295500	68.921200
184.500000	24.000000	471723.760115	7645737.837922	14.295500	68.921200
193.500000	62.000000	471723.760115	7645737.837922	14.295500	68.921200
