# depth [m]	particle flux [1/h]	utm_x [m]	utm_y [m]	longitude [deg]	latitude [deg]
4.500000	1.000000	471276.687594	7645263.505861	14.284500	68.916900
13.500000	1.000000	471276.687594	7645263.505861	14.284500	68.916900
22.500000	1.000000	471276.687594	7645263.505861	14.284500	68.916900
31.500000	1.000000	471276.687594	7645263.505861	14.284500	68.916900
40.500000	1.000000	471276.687594	7645263.505861	14.284500	68.916900
49.500000	1.000000	471276.687594	7645263.505861	14.284500	68.916900
58.500000	1.000000	471276.687594	7645263.505861	14.284500	68.916900
67.500000	1.000000	471276.687594	7645263.505861	14.284500	68.916900
76.500000	1.000000	471276.687594	7645263.505861	14.284500	68.916900
85.500000	2.000000	471276.687594	7645263.505861	14.284500	68.916900
94.500000	2.000000	471276.687594	7645263.505861	14.284500	68.916900
103.500000	3.000000	471276.687594	7645263.505861	14.284500	68.916900
112.500000	3.000000	471276.687594	7645263.505861	14.284500	68.916900
121.500000	4.000000	471276.687594	7645263.505861	14.284500	68.916900
130.500000	6.000000	471276.687594	7645263.505861	14.284500	68.916900
139.500000	7.000000	471276.687594	7645263.505861	14.284500	68.916900
148.500000	10.000000	471276.687594	7645263.505861	14.284500	68.916900
157.500000	12.000000	471276.687594	7645263.505861	14.284500	68.916900
166.500000	16.000000	471276.687594	7645263.505861	14.284500	68.916900
175.500000	20.000000	471276.687594	7645263.505861	14.284500	68.916900
184.500000	25.000000	471276.687594	7645263.505861	14.284500	68.916900
193.500000	47.000000	471276.687594	7645263.505861	14.284500	68.916900
