# depth [m]	particle flux [1/h]	utm_x [m]	utm_y [m]	longitude [deg]	latitude [deg]
4.500000	0.000000	471131.781667	7645231.744979	14.280900	68.916600
13.500000	0.000000	471131.781667	7645231.744979	14.280900	68.916600
22.500000	0.000000	471131.781667	7645231.744979	14.280900	68.916600
31.500000	0.000000	471131.781667	7645231.744979	14.280900	68.916600
40.500000	0.000000	471131.781667	7645231.744979	14.280900	68.916600
49.500000	0.000000	471131.781667	7645231.744979	14.280900	68.916600
58.500000	1.000000	471131.781667	7645231.744979	14.280900	68.916600
67.500000	1.000000	471131.781667	7645231.744979	14.280900	68.916600
76.500000	1.000000	471131.781667	7645231.744979	14.280900	68.916600
85.500000	1.000000	471131.781667	7645231.744979	14.280900	68.916600
94.500000	2.000000	471131.781667	7645231.744979	14.280900	68.916600
103.500000	2.000000	471131.781667	7645231.744979	14.280900	68.916600
112.500000	3.000000	471131.781667	7645231.744979	14.280900	68.916600
121.500000	4.000000	471131.781667	7645231.744979	14.280900	68.916600
130.500000	6.000000	471131.781667	7645231.744979	14.280900	68.916600
139.500000	7.000000	471131.781667	7645231.744979	14.280900	68.916600
148.500000	10.000000	471131.781667	7645231.744979	14.280900	68.916600
157.500000	13.000000	471131.781667	7645231.744979	14.280900	68.916600
166.500000	16.000000	471131.781667	7645231.744979	14.280900	68.916600
175.500000	21.000000	471131.781667	7645231.744979	14.280900	68.916600
184.500000	46.000000	471131.781667	7645231.744979	14.280900	68.916600
