# depth [m]	particle flux [1/h]	utm_x [m]	utm_y [m]	longitude [deg]	latitude [deg]
4.500000	1.000000	471245.613860	7645353.077847	14.283700	68.917700
13.500000	1.000000	471245.613860	7645353.077847	14.283700	68.917700
22.500000	1.000000	471245.613860	7645353.077847	14.283700	68.917700
31.500000	1.000000	471245.613860	7645353.077847	14.283700	68.917700
40.500000	1.000000	471245.613860	7645353.077847	14.283700	68.917700
49.500000	1.000000	471245.613860	7645353.077847	14.283700	68.917700
58.500000	1.000000	471245.613860	7645353.077847	14.283700	68.917700
67.500000	1.000000	471245.613860	7645353.077847	14.283700	68.917700
76.500000	2.000000	471245.613860	7645353.077847	14.283700	68.917700
85.500000	2.000000	471245.613860	7645353.077847	14.283700	68.917700
94.500000	3.000000	471245.613860	7645353.077847	14.283700	68.917700
103.500000	4.000000	471245.613860	7645353.077847	14.283700	68.917700
112.500000	5.000000	471245.613860	7645353.077847	14.283700	68.917700
121.500000	7.000000	471245.613860	7645353.077847	14.283700	68.917700
130.500000	9.000000	471245.613860	7645353.077847	14.283700	68.917700
139.500000	12.000000	471245.613860	7645353.077847	14.283700	68.917700
148.500000	16.000000	471245.613860	7645353.077847	14.283700	68.917700
157.500000	21.000000	471245.613860	7645353.077847	14.283700	68.917700
166.500000	26.000000	471245.613860	7645353.077847	14.283700	68.917700
175.500000	33.000000	471245.613860	7645353.077847	14.283700	68.917700
