# depth [m]	particle flux [1/h]	utm_x [m]	utm_y [m]	longitude [deg]	latitude [deg]
4.500000	0.000000	471145.782499	7645398.849340	14.281200	68.918100
13.500000	0.000000	471145.782499	7645398.849340	14.281200	68.918100
22.500000	0.000000	471145.782499	7645398.849340	14.281200	68.918100
31.500000	0.000000	471145.782499	7645398.849340	14.281200	68.918100
40.500000	0.000000	471145.782499	7645398.849340	14.281200	68.918100
49.500000	0.000000	471145.782499	7645398.849340	14.281200	68.918100
58.500000	0.000000	471145.782499	7645398.849340	14.281200	68.918100
67.500000	0.000000	471145.782499	7645398.849340	14.281200	68.918100
76.500000	0.000000	471145.782499	7645398.849340	14.281200	68.918100
85.500000	1.000000	471145.782499	7645398.849340	14.281200	68.918100
94.500000	1.000000	471145.782499	7645398.849340	14.281200	68.918100
103.500000	1.000000	471145.782499	7645398.849340	14.281200	68.918100
112.500000	2.000000	471145.782499	7645398.849340	14.281200	68.918100
121.500000	2.000000	471145.782499	7645398.849340	14.281200	68.918100
130.500000	3.000000	471145.782499	7645398.849340	14.281200	68.918100
139.500000	4.000000	471145.782499	7645398.849340	14.281200	68.918100
148.500000	5.000000	471145.782499	7645398.849340	14.281200	68.918100
157.500000	6.000000	471145.782499	7645398.849340	14.281200	68.918100
166.500000	8.000000	471145.782499	7645398.849340	14.281200	68.918100
175.500000	10.000000	471145.782499	7645398.849340	14.281200	68.918100
184.500000	17.000000	471145.782499	7645398.849340	14.281200	68.918100
